date,ticker,open,high,low,close,volume,return_1d,return_3d,rolling_volatility_5d,article_count,sentiment_mean,sentiment_max,sentiment_min,sentiment_std,sentiment_abs_mean,sentiment_range,positive_count,negative_count,net_sentiment_count,sentiment_balance,after_hours_article_count,intraday_article_count,premarket_article_count,after_hours_sentiment_mean,intraday_sentiment_mean,premarket_sentiment_mean,article_count_change_1d,sentiment_mean_change_1d,sentiment_mean_lag_1d,sentiment_mean_lag_3d,sentiment_abs_mean_lag_1d,sentiment_std_lag_1d
2025-10-01,GOOG,241.17999267578125,247.1499938964844,239.1999969482422,245.5399932861328,23967700,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-02,GOOG,245.63999938964844,247.63499450683597,243.10499572753903,246.42999267578125,20657500,0.003624661619222591,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-03,GOOG,245.22999572753903,247.1179962158203,242.47000122070312,246.4499969482422,19941400,8.117628963799639e-05,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-06,GOOG,245.77999877929688,252.1999969482422,245.69000244140625,251.50999450683597,18309000,0.02053153832928012,0.024313763068919636,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-07,GOOG,248.92999267578125,251.5500030517578,246.80999755859372,247.1300048828125,13811200,-0.017414773645921366,0.0028406128630300564,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-08,GOOG,246.1999969482422,247.25999450683597,245.08999633789065,245.4600067138672,14136500,-0.006757569440979938,-0.00401700242091263,0.01399666985068908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-09,GOOG,245.05999755859372,245.55499267578125,239.67999267578125,242.2100067138672,19375700,-0.013240446146440932,-0.0369766132403776,0.014910991368716906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-10,GOOG,242.16000366210935,244.83999633789065,236.68499755859372,237.4900054931641,22449100,-0.01948722633197819,-0.0390078064143593,0.016286584425777493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-13,GOOG,241.02999877929688,244.9900054931641,240.75,244.63999938964844,12465000,0.03010650440483542,-0.0033406962510785787,0.02041337582062223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-14,GOOG,241.7550048828125,248.0249938964844,241.1779937744141,246.19000244140625,17705400,0.006335852908865736,0.016432003704292875,0.019655908521591228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-15,GOOG,248.0850067138672,252.75999450683597,246.7899932861328,251.7100067138672,16048100,0.022421723943784944,0.05987620906898505,0.021608547936347464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-16,GOOG,252.46499633789065,257.5799865722656,250.6699981689453,251.8800048828125,18946000,0.0006753731056015067,0.02959452874111812,0.01942067370784786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-17,GOOG,251.3500061035156,254.8800048828125,248.58999633789065,253.7899932861328,17653800,0.007582929832834262,0.030870428406349903,0.012310081293648358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-20,GOOG,255.22999572753903,257.8800048828125,254.6000061035156,257.0199890136719,13726800,0.01272704130575164,0.02109563449275509,0.008184430812900111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-21,GOOG,255.25,255.3800048828125,244.6699981689453,251.33999633789065,27836400,-0.022099419961764455,-0.0021439119201743795,0.016735063689385335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-22,GOOG,255.00999450683597,257.17999267578125,250.4510040283203,252.52999877929688,19650200,0.004734632206353728,-0.004964713109926966,0.013491793366691067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-23,GOOG,253.6999969482422,255.8600006103516,252.76800537109372,253.72999572753903,13241300,0.0047518986023158405,-0.012800534692878784,0.013610758944051284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-24,GOOG,257.29998779296875,262.510009765625,256.1000061035156,260.510009765625,18406000,0.02672137371320682,0.03648449733963788,0.01778596320783786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-27,GOOG,265.3599853515625,270.79998779296875,264.94000244140625,269.92999267578125,22987700,0.036159773356237546,0.06890268079275375,0.02263605043182758,11.0,0.43976363636363636,0.9818,-0.34,0.497121199050548,0.5435272727272727,1.3218,7.0,3.0,4.0,0.36363636363636365,0.0,11.0,0.0,0.0,0.43976363636363636,0.0,11.0,0.43976363636363636,0.0,0.0,0.0,0.0
2025-10-28,GOOG,270.20001220703125,271.3800048828125,267.1700134277344,268.42999267578125,20101200,-0.00555699640907148,0.05793558978350899,0.01735443086196089,49.0,0.45428775510204084,0.9657,-0.4767,0.38410580336708283,0.5214428571428572,1.4424000000000001,39.0,5.0,34.0,0.6938775510204082,15.0,6.0,28.0,0.45364,0.5072,0.4432964285714286,38.0,0.014524118738404479,0.43976363636363636,0.0,0.5435272727272727,0.497121199050548
2025-10-29,GOOG,268.6099853515625,275.9700012207031,268.42999267578125,275.1700134277344,26287900,0.02510904494973465,0.056274243263430224,0.017213641243461666,71.0,0.4034112676056338,0.9628,-0.5574,0.3997127477681568,0.4734873239436621,1.5202,52.0,7.0,45.0,0.6338028169014085,13.0,31.0,27.0,0.46994615384615385,0.38954516129032263,0.3872962962962963,22.0,-0.05087648749640705,0.45428775510204084,0.0,0.5214428571428572,0.38410580336708283
2025-10-30,GOOG,291.7200012207031,291.92999267578125,280.45001220703125,281.8999938964844,48570000,0.024457535851803325,0.04434483586668536,0.01577934357889557,92.0,0.3501673913043479,0.9264,-0.5994,0.39401087927990286,0.4393543478260869,1.5258,64.0,12.0,52.0,0.5652173913043478,31.0,37.0,24.0,0.3472258064516129,0.3519108108108108,0.35127916666666664,21.0,-0.05324387630128591,0.4034112676056338,0.43976363636363636,0.4734873239436621,0.3997127477681568
2025-10-31,GOOG,283.2049865722656,286.2850036621094,277.52301025390625,281.82000732421875,29932800,-0.0002837409506826205,0.04988270690231844,0.017963732707750143,19.0,0.4204210526315789,0.9337,-0.6597,0.42079699061416953,0.5136842105263157,1.5934,15.0,2.0,13.0,0.6842105263157895,19.0,0.0,0.0,0.4204210526315789,0.0,0.0,-73.0,0.07025366132723104,0.3501673913043479,0.45428775510204084,0.4393543478260869,0.39401087927990286
2025-11-03,GOOG,282.4200134277344,285.94000244140625,280.3699951171875,284.1199951171875,19691800,0.008161194142340511,0.03252527983687292,0.014033425029418805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.0,-0.4204210526315789,0.4204210526315789,0.4034112676056338,0.5136842105263157,0.42079699061416953
2025-11-04,GOOG,277.06500244140625,281.8340148925781,276.864990234375,278.0599975585937,18123700,-0.021329007682455825,-0.013621839024589577,0.0192962971876684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3501673913043479,0.0,0.0
2025-11-05,GOOG,279.3800048828125,286.70001220703125,277.8800048828125,284.75,20063200,0.024059564483009055,0.010396680858823615,0.019057330410244416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4204210526315789,0.0,0.0
2025-11-06,GOOG,285.7349853515625,288.8099975585937,281.6199951171875,285.3399963378906,23103800,0.0020719801155071327,0.004293964668695471,0.01637537390686918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-07,GOOG,284.2099914550781,284.5,275.739990234375,279.70001220703125,21991100,-0.01976583795908049,0.0058980603568909995,0.01927512660026733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-10,GOOG,285.2650146484375,291.4599914550781,283.5400085449219,290.5899963378906,19508200,0.03893451432100292,0.02050920575203019,0.02659766557361138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-11,GOOG,288.20001220703125,292.3399963378906,287.8800048828125,291.739990234375,14156700,0.003957444891348638,0.02242936138860019,0.022472974554912237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
