Date,open,high,low,close,volume,return_1d,return_3d,rolling_volatility_5d,article_count,avg_sentiment,max_pos_sentiment,max_neg_sentiment,position,cash
2025-10-01,443.79998779296875,462.2900085449219,440.75,459.4599914550781,98122300,,,,0,,,,0,10000.0
2025-10-02,470.5400085449219,470.75,435.57000732421875,436.0,137009000,-0.051059922281332826,,,0,,,,0,10000.0
2025-10-03,443.2900085449219,446.7699890136719,416.5799865722656,429.8299865722656,133188200,-0.014151406944344913,,,0,,,,0,10000.0
2025-10-06,440.75,453.54998779296875,436.69000244140625,453.25,85324900,0.054486690457546505,-0.013515848105536965,,0,,,,0,10000.0
2025-10-07,447.82000732421875,452.67999267578125,432.45001220703125,433.0899963378906,102296100,-0.044478772558432134,-0.006674320325938954,,0,,,,0,10000.0
2025-10-08,437.57000732421875,441.3299865722656,425.2300109863281,438.69000244140625,71192100,0.012930352007360923,0.020612837972976195,0.04348657931303268,0,,,,0,10000.0
2025-10-09,431.80999755859375,436.3500061035156,426.17999267578125,435.5400085449219,69339900,-0.007180455170972544,-0.03907334022080111,0.036625332060351304,0,,,,0,10000.0
2025-10-10,436.5400085449219,443.1300048828125,411.45001220703125,413.489990234375,112107900,-0.05062684914805626,-0.04525619679338888,0.04326032110174724,0,,,,0,10000.0
2025-10-13,423.5299987792969,436.8900146484375,419.70001220703125,435.8999938964844,79552800,0.054197209585187034,-0.006359863524116993,0.04315757549340031,0,,,,0,10000.0
2025-10-14,426.7900085449219,434.20001220703125,417.8599853515625,429.239990234375,72669400,-0.015278742269702716,-0.014464844071602867,0.03855355877747019,0,,,,0,10000.0
2025-10-15,434.8999938964844,440.510009765625,426.3299865722656,435.1499938964844,71558200,0.013768529951932784,0.05238338091287775,0.03863205660932315,0,,,,0,10000.0
2025-10-16,434.7300109863281,439.3500061035156,421.30999755859375,428.75,77189900,-0.01470755828163206,-0.016402830916722455,0.039076043292876596,0,,,,0,10000.0
