Date,open,high,low,close,volume,return_1d,return_3d,rolling_volatility_5d,article_count,avg_sentiment,max_pos_sentiment,max_neg_sentiment,position,cash
2025-10-01,241.17999267578125,247.14999389648438,239.1999969482422,245.5399932861328,23967700,,,,0,,,,0,10000.0
2025-10-02,245.63999938964844,247.63499450683594,243.10499572753906,246.42999267578125,20657500,0.003624661619222591,,,0,,,,0,10000.0
2025-10-03,245.22999572753906,247.1179962158203,242.47000122070312,246.4499969482422,19941400,8.117628963799639e-05,,,0,,,,0,10000.0
2025-10-06,245.77999877929688,252.1999969482422,245.69000244140625,251.50999450683594,18309000,0.020531538329279897,0.024313763068919636,,0,,,,0,10000.0
2025-10-07,248.92999267578125,251.5500030517578,246.80999755859375,247.1300048828125,13811200,-0.017414773645921255,0.0028406128630300564,,0,,,,0,10000.0
2025-10-08,246.1999969482422,247.25999450683594,245.08999633789062,245.4600067138672,14136500,-0.006757569440979938,-0.00401700242091263,0.013996669850688963,0,,,,0,10000.0
2025-10-09,245.05999755859375,245.55499267578125,239.67999267578125,242.2100067138672,19375700,-0.013240446146440932,-0.03697661324037749,0.014910991368716792,0,,,,0,10000.0
2025-10-10,242.16000366210938,244.83999633789062,236.68499755859375,237.49000549316406,22449100,-0.019487226331978302,-0.039007806414359414,0.016286584425777403,0,,,,0,10000.0
2025-10-13,241.02999877929688,244.99000549316406,240.75,244.63999938964844,12465000,0.030106504404835643,-0.0033406962510785787,0.02041337582062233,0,,,,0,10000.0
2025-10-14,241.7550048828125,248.02499389648438,241.17799377441406,246.19000244140625,17705400,0.006335852908865736,0.016432003704292875,0.019655908521591346,0,,,,0,10000.0
2025-10-15,248.0850067138672,252.75999450683594,246.7899932861328,251.7100067138672,16048100,0.022421723943784944,0.05987620906898505,0.02160854793634756,0,,,,0,10000.0
2025-10-16,252.46499633789062,257.5799865722656,250.6699981689453,251.8800048828125,18946000,0.0006753731056015067,0.02959452874111812,0.019420673707847964,0,,,,0,10000.0
2025-10-17,251.35000610351562,254.8800048828125,248.58999633789062,253.7899932861328,17653800,0.007582929832834262,0.030870428406349903,0.01231008129364844,0,,,,0,10000.0
2025-10-20,255.22999572753906,257.8800048828125,254.60000610351562,257.0199890136719,13726800,0.01272704130575164,0.02109563449275509,0.008184430812900122,0,,,,0,10000.0
2025-10-21,255.25,255.3800048828125,244.6699981689453,251.33999633789062,27836400,-0.022099419961764566,-0.0021439119201744905,0.016735063689385384,0,,,,0,10000.0
2025-10-22,255.00999450683594,257.17999267578125,250.4510040283203,252.52999877929688,19650200,0.00473463220635395,-0.004964713109926966,0.013491793366691136,0,,,,0,10000.0
2025-10-23,253.6999969482422,255.86000061035156,252.76800537109375,253.72999572753906,13241300,0.0047518986023158405,-0.012800534692878673,0.013610758944051352,0,,,,0,10000.0
2025-10-24,257.29998779296875,262.510009765625,256.1000061035156,260.510009765625,18406000,0.02672137371320682,0.03648449733963788,0.017785963207837905,0,,,,0,10000.0
2025-10-27,265.3599853515625,270.79998779296875,264.94000244140625,269.92999267578125,22987700,0.036159773356237546,0.06890268079275375,0.02263605043182761,0,,,,0,10000.0
2025-10-28,270.20001220703125,271.3800048828125,267.1700134277344,268.42999267578125,20101200,-0.00555699640907148,0.05793558978350899,0.017354430861960868,0,,,,0,10000.0
2025-10-29,268.6099853515625,275.9700012207031,268.42999267578125,275.1700134277344,26287900,0.02510904494973465,0.056274243263430224,0.017213641243461676,0,,,,0,10000.0
2025-10-30,291.7200012207031,291.92999267578125,280.45001220703125,281.8999938964844,48570000,0.024457535851803325,0.04434483586668536,0.015779343578895582,0,,,,0,10000.0
2025-10-31,283.2049865722656,286.2850036621094,277.52301025390625,281.82000732421875,29932800,-0.0002837409506826205,0.04988270690231844,0.017963732707750153,0,,,,0,10000.0
2025-11-03,282.4200134277344,285.94000244140625,280.3699951171875,284.1199951171875,19691800,0.008161194142340511,0.03252527983687292,0.014033425029418815,0,,,,0,10000.0
2025-11-04,277.06500244140625,281.8340148925781,276.864990234375,278.05999755859375,18123700,-0.021329007682455603,-0.013621839024589355,0.019296297187668322,0,,,,0,10000.0
2025-11-05,279.3800048828125,286.70001220703125,277.8800048828125,284.75,20063200,0.024059564483008833,0.010396680858823615,0.01905733041024429,0,,,,0,10000.0
2025-11-06,285.7349853515625,288.80999755859375,281.6199951171875,285.3399963378906,23103800,0.0020719801155071327,0.004293964668695471,0.01637537390686903,0,,,,0,10000.0
2025-11-07,284.2099914550781,284.5,275.739990234375,279.70001220703125,21991100,-0.01976583795908049,0.0058980603568907775,0.019275126600267204,0,,,,0,10000.0
2025-11-10,285.2650146484375,291.4599914550781,283.5400085449219,290.5899963378906,19508200,0.03893451432100292,0.02050920575203019,0.02659766557361129,0,,,,0,10000.0
2025-11-11,288.20001220703125,292.3399963378906,287.8800048828125,291.739990234375,14156700,0.003957444891348638,0.02242936138860019,0.02247297455491221,0,,,,0,10000.0
2025-11-12,292.0849914550781,292.3599853515625,284.3800048828125,287.42999267578125,16998800,-0.014773420521236202,0.027636682629203158,0.023038328862174384,0,,,,0,10000.0
2025-11-13,282.9849853515625,283.510009765625,278.0,279.1199951171875,18060200,-0.028911379363138923,-0.03947142491225364,0.0268878972907435,0,,,,0,10000.0
2025-11-14,271.8949890136719,279.1499938964844,271.4100036621094,276.9800109863281,18330500,-0.007666896561677405,-0.05059292432343321,0.02564248163756713,0,,,,0,10000.0
2025-11-17,286.3999938964844,294.5199890136719,284.2300109863281,285.6000061035156,34286100,0.031121361741923703,-0.006366721006495046,0.02260609570244294,0,,,,0,10000.0
2025-11-18,288.4849853515625,289.43499755859375,279.010009765625,284.9599914550781,29702200,-0.0022409476006997053,0.0209228877903882,0.0222793200670497,0,,,,0,10000.0
2025-11-19,287.68499755859375,304.25,287.6700134277344,292.989990234375,43123600,0.028179390160329776,0.057801930150248815,0.02538892273840218,0,,,,0,10000.0
2025-11-20,304.739990234375,306.8900146484375,289.1700134277344,289.9800109863281,34801400,-0.01027331768446793,0.015336151222717254,0.02016118130555391,0,,,,0,10000.0
2025-11-21,296.8699951171875,303.9599914550781,294.3599853515625,299.6499938964844,43670600,0.03334706719013192,0.0515511050038826,0.02062116443064726,0,,,,0,10000.0
2025-11-24,311.010009765625,319.79998779296875,309.3999938964844,318.4700012207031,55311800,0.06280663343086945,0.08696546583706022,0.029413649375067616,0,,,,0,10000.0
2025-11-25,326.79998779296875,328.6700134277344,317.8160095214844,323.6400146484375,50899300,0.01623391028328447,0.11607697905665759,0.026573343017436517,0,,,,0,10000.0
2025-11-26,320.7799987792969,324.989990234375,317.20001220703125,320.2799987792969,29839600,-0.010381954384690473,0.06884700585022951,0.031026607821544802,0,,,,0,10000.0
2025-11-28,323.42999267578125,326.8800048828125,316.94000244140625,320.1199951171875,19695800,-0.0004995743184688095,0.005181002575312954,0.029015416345322384,0,,,,0,10000.0
2025-12-01,317.4750061035156,319.6300048828125,313.9800109863281,315.1199951171875,28520600,-0.015619143059681817,-0.026325606061120443,0.03165484796337499,0,,,,0,10000.0
2025-12-02,316.8999938964844,318.6000061035156,314.2200012207031,316.0199890136719,24668200,0.002856035511645816,-0.013300892287565369,0.012376441242533058,0,,,,0,10000.0
2025-12-03,316.0299987792969,322.0400085449219,314.2799987792969,320.6199951171875,32285100,0.014556060576651042,0.0015619143059681928,0.0117846041306105,0,,,,0,10000.0
2025-12-04,323.0450134277344,323.0989990234375,315.5899963378906,318.3900146484375,20831600,-0.006955213345115729,0.010377061379535535,0.011249519558215874,0,,,,0,10000.0
