ticker,algo,state,cumulative_return,sharpe_ratio,max_drawdown,turnover,final_value
NVDA,PPO,price,-0.027637021200503882,-3.6718162400094894,-0.036061390359428784,16,9759.33728126526
NVDA,PPO,sentiment_basic,-0.016532619254039985,-3.373368046001896,-0.017344283343808144,19,9870.789080917359
NVDA,PPO,sentiment_enhanced,0.027348752534485175,4.3525792626799396,-0.0037130084435551057,12,10273.487525344852
NVDA,DQN,price,0.023976791482544287,2.9246497312174853,-0.016777060712170874,14,10239.767914825443
NVDA,DQN,sentiment_basic,0.032619828429783455,3.665520897428453,-0.017344283343808144,13,10364.118553146363
NVDA,DQN,sentiment_enhanced,0.02468250817718508,2.1702603155252707,-0.039259771662285586,8,10246.82508177185
GOOG,PPO,price,0.009216059664271302,1.3707073076212712,-0.025785120704588355,18,10101.014558654788
GOOG,PPO,sentiment_basic,0.009231996512779303,1.3730131825440375,-0.025785120704588355,18,10101.17406695557
GOOG,PPO,sentiment_enhanced,0.001686017042565224,0.29207150109374524,-0.025960681577852328,20,10025.648070556643
GOOG,DQN,price,-0.024273308944702147,-3.253950381579465,-0.03452605329340189,14,9757.266910552979
GOOG,DQN,sentiment_basic,-0.0032923768768308944,-0.333189726770544,-0.03602082356269222,14,9967.076231231691
GOOG,DQN,sentiment_enhanced,0.0007164824390267124,0.1355979515308618,-0.03568874166365197,10,10015.944218688966
TSLA,PPO,price,0.047663419793960556,3.437803583125395,-0.023358093123852706,19,10461.304987182619
TSLA,PPO,sentiment_basic,0.008457752333246964,1.6213939300645617,-0.011680425152449303,17,10069.821962402344
TSLA,PPO,sentiment_enhanced,-0.0032101090979134257,-0.3984469049904234,-0.029369786440868653,20,9953.314070007324
TSLA,DQN,price,0.004710532913411641,2.903665688447635,-0.0004878671985521728,15,10032.404596801758
TSLA,DQN,sentiment_basic,0.023841121575928083,1.9489942141231078,-0.02784049757103284,18,10238.41121575928
TSLA,DQN,sentiment_enhanced,0.04475332404422893,3.4393290587258116,-0.023809900130327296,10,10432.246609649657
NVDA,buy_and_hold,baseline,0.036190010070800784,1.5804703325761615,-0.07794154143329499,1,10361.900100708008
NVDA,momentum,baseline,8.89984130859375e-05,0.3945208174774903,-0.00046200103759765624,4,10000.88998413086
GOOG,buy_and_hold,baseline,-0.004092022705078125,-0.13058704854798436,-0.07291746820439532,1,9959.079772949219
GOOG,momentum,baseline,-0.0001579986572265625,-0.5810912543785991,-0.0007297616067746733,4,9998.420013427734
TSLA,buy_and_hold,baseline,0.04503396911621094,1.5692252943226512,-0.08120964289397792,1,10450.33969116211
TSLA,momentum,baseline,0.0023700042724609377,2.0841340297600675,-0.002253384812229171,6,10023.70004272461
ALL,equal_weight_bh,baseline,0.024229986572265626,1.435059904934063,-0.036593089043944454,1,10242.299865722656
