ticker,algo,state,cumulative_return,sharpe_ratio,max_drawdown,turnover,final_value
NVDA,PPO,price,-0.009765299148559461,-0.2932846212418117,-0.07763397488297988,24,9902.347008514405
NVDA,PPO,sentiment_vader,0.032171559208679174,1.475848784535703,-0.04646757125818813,37,10321.715592086792
NVDA,PPO,sentiment_finbert,0.05105477903137216,2.410263815144615,-0.02620130582937414,24,10510.547790313722
NVDA,DQN,price,0.07169681290130629,3.8997395408807627,-0.014896407493776444,34,10716.968129013063
NVDA,DQN,sentiment_vader,0.013144752290344331,1.39529721672996,-0.010625706155129679,34,10131.447522903443
NVDA,DQN,sentiment_finbert,0.011267427282714924,1.4203683246027814,-0.010645221817846195,34,10112.67427282715
GOOG,PPO,price,0.08475468872375513,4.99366025641082,-0.013610478726877191,27,10847.546887237551
GOOG,PPO,sentiment_vader,0.07143361606366787,3.1105349560967226,-0.03439243256930698,37,10598.782046844484
GOOG,PPO,sentiment_finbert,0.06084591501730225,2.668071706621986,-0.043764715372651315,35,10494.046919921877
GOOG,DQN,price,0.07693059279480022,3.6022938230328685,-0.024533021878738907,28,10769.305927948002
GOOG,DQN,sentiment_vader,0.013078122879028342,1.1207395542089298,-0.025710991433571397,31,10130.781228790283
GOOG,DQN,sentiment_finbert,0.03449732268371627,3.567183435822171,-0.008592809498345797,31,10344.973226837163
TSLA,PPO,price,0.0446969655273444,1.8838497040898512,-0.04678665761327581,32,10446.969655273444
TSLA,PPO,sentiment_vader,0.045027016992219726,1.4945069458949671,-0.07537613490251095,31,10193.419716217042
TSLA,PPO,sentiment_finbert,0.03195726720101143,1.0950935966814528,-0.07537613490251095,38,10065.934547851564
TSLA,DQN,price,0.06156318121337936,2.9496583091607915,-0.021621075285201432,29,10615.631812133794
TSLA,DQN,sentiment_vader,0.020767061114502394,0.8935102021278192,-0.04360483332519507,34,10207.670611145024
TSLA,DQN,sentiment_finbert,-0.00010711110916500084,0.07379659136566076,-0.042899163935280565,33,9753.171661590579
NVDA,buy_and_hold,baseline,-0.0978240234375,-1.5960757079605168,-0.17251201171875,1,9021.759765625
NVDA,momentum,baseline,0.000482000732421875,1.20622825842167,-0.000461819541446753,8,10004.820007324219
GOOG,buy_and_hold,baseline,0.10387997436523437,2.1581789005667225,-0.07865104227099341,1,11038.799743652344
GOOG,momentum,baseline,0.000234002685546875,0.2148257549873343,-0.0019273031838826246,10,10002.340026855469
TSLA,buy_and_hold,baseline,-0.03916498718261719,-0.3544684540309682,-0.16228799743652345,1,9608.350128173828
TSLA,momentum,baseline,0.004550003051757813,2.4481242854018457,-0.0022485017491313073,6,10045.500030517578
ALL,equal_weight_bh,baseline,-0.013015011596679688,-0.12913093185280133,-0.08689200744628887,1,9869.849884033203
