date,ticker,open,high,low,close,volume,return_1d,return_3d,rolling_volatility_5d,article_count,sentiment_mean,sentiment_max,sentiment_min,sentiment_std,sentiment_abs_mean,sentiment_range,positive_count,negative_count,net_sentiment_count,sentiment_balance,after_hours_article_count,intraday_article_count,premarket_article_count,after_hours_sentiment_mean,intraday_sentiment_mean,premarket_sentiment_mean,article_count_change_1d,sentiment_mean_change_1d,sentiment_mean_lag_1d,sentiment_mean_lag_3d,sentiment_abs_mean_lag_1d,sentiment_std_lag_1d
2025-07-01,GOOG,176.80499267578125,177.22000122070312,174.66000366210938,176.91000366210938,25778500,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-02,GOOG,176.5449981689453,179.93499755859375,176.08999633789062,179.75999450683594,19325900,0.016109834298403625,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-03,GOOG,179.82000732421875,180.7700042724609,178.19000244140625,180.5500030517578,13287400,0.004394796223093023,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-07,GOOG,180.13499450683594,180.33999633789065,176.63999938964844,177.55999755859375,20991400,-0.016560539698838528,0.0036741500369070756,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-08,GOOG,178.77999877929688,178.7899932861328,173.9199981689453,175.16000366210938,24108600,-0.013516523594749419,-0.025589624973823777,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-09,GOOG,176.11000061035156,180.27999877929688,173.8800048828125,177.66000366210938,31288000,0.014272664693605552,-0.01600664270728358,0.01528953401514946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-10,GOOG,176.6699981689453,179.58999633789062,175.74000549316406,178.6999969482422,24693700,0.00585384028309921,0.006420361597900159,0.01330474749924165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-11,GOOG,177.91000366210938,182.6100006103516,177.54100036621094,181.30999755859372,23975700,0.014605487716418342,0.03511072030089668,0.015032555393311126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-14,GOOG,182.07000732421875,184.72999572753903,180.71099853515625,182.80999755859372,20990400,0.008273123491247425,0.028987919567305065,0.011494805769956411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-15,GOOG,183.94000244140625,185.41000366210935,182.38999938964844,183.1000061035156,23911600,0.0015863932432300665,0.024622323617318198,0.005580711159158257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
